Value Date,Description,Reference,Post Date,Debit,Credit,Balance
,E:t,,,,,1995
,"Balance at Period Start 229,810.450",,,,,"229,810.450"
09 FEB 22,Securities PurchaSe,SCTRSC22038CHK4T,07 FEB 22,-200.398,,"29,411.900"
,-RKCE.AD,,,,,65500
17 FEB 22,"SecuEities Purchase 15FEB 22-75.770.04 0 -46,358.140",SCTRSC22046BHBTB,,,0,"-46,358.140"
,O-AIRA.DU,,,,,5000
21 FEB 22,Securities Purchase,SCTRSC22048NLZXO,17 FEB 22,"-19,250.00",,"-65,608.140"
,- RKCE.AD,,,,,6000
21 FEB 22,Transfer,FT220S2YJ2S0,21 FEB 22,,14,0.000
,Balance at Periad End 0.00,,,,,0.00
